title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
"13th Man, The",1937,70,NA,5.1,5,0,0,24.5,0,24.5,24.5,24.5,24.5,0,0,,0,0,0,0,0,0,0
3 Dumb Clucks,1937,17,NA,7.1,80,4.5,4.5,0,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,1,0,0,0,1
52nd Street,1937,80,NA,7,5,0,0,0,0,0,24.5,64.5,0,0,24.5,,0,0,0,1,0,0,0
Action for Slander,1937,83,NA,5.6,12,14.5,0,0,0,14.5,14.5,24.5,0,14.5,4.5,,0,0,0,1,0,0,0
Adolf Armstarke,1937,87,NA,3.9,12,0,4.5,24.5,14.5,44.5,4.5,0,0,0,0,,0,0,1,0,0,0,0
Adventure's End,1937,60,90000,3.3,16,24.5,14.5,4.5,0,14.5,14.5,0,14.5,4.5,14.5,,0,0,0,0,0,0,0
"Adventurous Blonde, The",1937,61,NA,6.7,44,0,4.5,0,4.5,4.5,24.5,34.5,4.5,14.5,4.5,,0,0,1,0,0,0,0
"Affaire du courrier de Lyon, L'",1937,102,NA,7.1,7,0,0,0,0,0,14.5,45.5,0,14.5,14.5,,0,0,0,1,0,0,0
"Affairs of Cappy Ricks, The",1937,56,NA,5.7,5,0,24.5,24.5,0,0,44.5,24.5,0,0,0,,0,0,1,1,0,0,0
Aien kyo,1937,88,NA,9.2,5,0,0,0,0,0,0,0,24.5,44.5,44.5,,0,0,0,0,0,0,0
Ain't We Got Fun,1937,8,NA,6.5,22,4.5,0,4.5,0,14.5,34.5,14.5,24.5,0,4.5,,0,1,1,0,0,0,1
Alcatraz Island,1937,63,NA,5.5,17,0,0,4.5,14.5,14.5,24.5,24.5,0,4.5,4.5,,0,0,0,1,0,0,0
Ali Baba Goes to Town,1937,80,NA,6.3,28,0,0,4.5,4.5,14.5,24.5,4.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
"Alibi, L'",1937,84,NA,5.5,14,0,0,4.5,4.5,4.5,24.5,14.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
All Over Town,1937,63,NA,4.5,9,0,0,24.5,34.5,14.5,14.5,14.5,0,0,14.5,,0,0,1,0,0,0,0
Angel,1937,91,NA,7,177,0,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
Annapolis Salute,1937,65,NA,5.4,16,0,0,14.5,14.5,4.5,4.5,34.5,4.5,0,4.5,,0,0,0,1,0,1,0
Another Dawn,1937,73,NA,5.8,62,0,4.5,4.5,14.5,4.5,44.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
Arizona Days,1937,57,NA,5,12,0,0,4.5,4.5,45.5,24.5,0,0,0,0,,0,0,0,0,0,0,0
Arizona Gunfighter,1937,58,NA,5.9,5,0,0,0,0,24.5,24.5,44.5,0,0,24.5,,0,0,0,0,0,0,0
Artists & Models,1937,97,NA,5.8,16,4.5,4.5,4.5,0,14.5,34.5,4.5,14.5,0,4.5,,0,0,1,0,0,0,0
Assassin of Youth,1937,80,NA,5.2,36,14.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,0,,0,0,0,1,0,0,0
Atarashiki tsuchi,1937,114,NA,3,6,0,14.5,0,0,45.5,14.5,14.5,0,0,0,,0,0,0,0,0,0,0
Aurora de esperanza,1937,90,NA,6.7,6,0,0,0,0,0,45.5,14.5,34.5,0,0,,0,0,0,0,0,0,0
"Awful Truth, The",1937,91,NA,7.8,1729,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,1,0,0,1,0
