title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
"$40,000",1996,70,NA,8.2,6,14.5,0,0,0,0,0,0,0,34.5,45.5,,0,0,1,0,0,0,0
'M' Word,1996,99,NA,4.6,6,14.5,0,14.5,14.5,14.5,0,14.5,0,0,14.5,,0,0,1,0,0,1,0
(Haru),1996,118,NA,6.6,19,4.5,0,14.5,0,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
...ani smrt nebere,1996,88,NA,3.6,5,44.5,24.5,0,0,0,24.5,0,24.5,0,0,,0,0,0,0,0,0,0
101 Dalmatians,1996,103,NA,5.5,5028,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
2 Days in the Valley,1996,104,NA,6.4,5057,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
21st Century Jet: The Building of the 777,1996,285,NA,7.6,7,0,0,0,0,0,0,14.5,14.5,44.5,24.5,,0,0,0,0,1,0,0
26 Summer Street,1996,17,NA,4.7,20,14.5,0,0,0,24.5,0,0,4.5,0,64.5,,0,0,0,0,0,0,1
5 Dark Souls,1996,94,1500,7.3,11,14.5,0,0,4.5,0,0,4.5,4.5,4.5,44.5,,1,0,0,0,0,0,0
5 Dead on the Crimson Canvas,1996,96,25000,2,24,14.5,4.5,0,0,4.5,0,4.5,14.5,24.5,24.5,,0,0,0,0,0,0,0
666 mo gui fu huo,1996,100,NA,5.3,54,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,0,4.5,,1,0,0,0,0,0,0
A & P,1996,17,NA,5.6,26,4.5,4.5,0,0,14.5,24.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,1
A spasso nel tempo,1996,94,NA,3.5,49,45.5,4.5,4.5,14.5,4.5,4.5,4.5,0,0,4.5,,0,0,1,0,0,0,0
A tiro limpio,1996,87,NA,6.7,16,0,0,14.5,14.5,14.5,24.5,4.5,24.5,4.5,0,,0,0,0,0,0,0,0
Abbuzze! Der Badesalz Film,1996,95,NA,5.8,191,14.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
Abot kamay ang pangarap,1996,100,NA,8.4,5,0,0,0,0,0,0,44.5,0,44.5,24.5,,0,0,0,1,0,0,0
"Accueil familial, vieillir comme chez soi, L'",1996,17,NA,9,5,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,1,0,1
Achilles,1996,11,NA,8,33,4.5,0,0,4.5,4.5,0,4.5,24.5,24.5,34.5,,0,0,0,0,0,0,1
Acri,1996,108,NA,4.6,11,4.5,0,0,0,4.5,24.5,4.5,4.5,4.5,24.5,,0,0,0,0,0,0,0
"Adeus, Pai",1996,85,NA,6.3,77,4.5,4.5,0,4.5,4.5,4.5,14.5,34.5,4.5,14.5,,0,0,0,1,0,0,0
Adoration,1996,16,NA,4.5,9,14.5,14.5,14.5,14.5,0,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,1
Adosados,1996,95,NA,5.7,28,0,0,4.5,14.5,14.5,24.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
Adrenalin: Fear the Rush,1996,88,NA,3.5,664,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
"Adventures of Pinocchio, The",1996,92,25000000,5.6,577,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
