title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
At the Altar,1909,11,NA,5,9,14.5,0,14.5,14.5,34.5,0,24.5,0,14.5,0,,0,0,0,1,0,0,1
"Awakening, The",1909,8,NA,3.7,5,44.5,0,0,0,44.5,0,24.5,0,0,0,,0,0,0,0,0,0,1
"Cardinal's Conspiracy, The",1909,11,NA,4.6,5,44.5,24.5,0,0,24.5,0,0,24.5,0,0,,0,0,0,1,0,0,1
Confidence,1909,11,NA,4.4,5,44.5,0,0,0,24.5,0,24.5,24.5,0,0,,0,0,0,0,0,0,1
"Cord of Life, The",1909,9,NA,4.9,7,24.5,0,0,14.5,14.5,0,24.5,14.5,0,0,,0,0,0,1,0,0,1
"Corner in Wheat, A",1909,14,NA,7,115,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,1,0,0,1
"Country Doctor, The",1909,10,NA,6.9,32,14.5,0,0,0,4.5,4.5,34.5,24.5,4.5,4.5,,0,0,0,1,0,0,1
"Cricket on the Hearth, The",1909,10,NA,3.9,5,44.5,0,0,0,24.5,44.5,0,0,0,0,,0,0,0,0,0,0,1
"Curtain Pole, The",1909,13,NA,5.3,9,14.5,0,0,0,44.5,14.5,0,0,24.5,14.5,,0,0,1,0,0,0,1
"Drunkard's Reformation, A",1909,13,NA,5.3,12,14.5,0,4.5,4.5,14.5,14.5,4.5,0,0,24.5,,0,0,0,1,0,0,1
Fools of Fate,1909,11,NA,5.4,9,14.5,0,0,14.5,24.5,24.5,14.5,24.5,0,0,,0,0,0,1,0,0,1
"Girls and Daddy, The",1909,15,NA,4.9,8,14.5,0,14.5,0,14.5,24.5,24.5,0,14.5,0,,0,0,0,1,0,0,1
"Golden Louis, The",1909,5,NA,6.1,8,14.5,14.5,0,14.5,0,14.5,24.5,14.5,0,14.5,,0,0,0,1,0,0,1
Her First Biscuits,1909,6,NA,4.9,7,14.5,0,0,14.5,0,24.5,44.5,0,0,0,,0,0,1,0,0,0,1
"Hessian Renegades, The",1909,10,NA,5.2,10,14.5,0,0,24.5,14.5,0,44.5,14.5,14.5,0,,0,0,0,1,0,0,1
"Lonely Villa, The",1909,8,NA,6,51,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,1
"Message, The",1909,10,NA,5.5,6,14.5,0,0,0,14.5,0,0,0,0,64.5,,0,0,0,0,0,0,1
"Midsummer Night's Dream, A",1909,12,NA,6,23,4.5,0,4.5,0,24.5,4.5,34.5,4.5,4.5,4.5,,0,0,0,1,0,1,1
Mr. Flip,1909,4,NA,2.9,15,14.5,24.5,4.5,34.5,4.5,14.5,4.5,0,0,0,,0,0,1,0,0,0,1
"Mrs. Jones' Lover; or, 'I Want My Hat'",1909,5,NA,3.1,5,24.5,0,24.5,44.5,24.5,0,0,0,0,0,,0,0,1,0,0,0,1
Nerone,1909,14,NA,5.1,67,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,4.5,0,,0,0,0,1,0,0,1
"Pippa Passes; or, The Song of Conscience",1909,11,NA,4.6,6,14.5,0,0,14.5,0,34.5,34.5,0,0,0,,0,0,0,0,0,0,1
"Princess Nicotine; or, The Smoke Fairy",1909,5,NA,7.2,60,4.5,0,0,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,1
"Red Man's View, The",1909,11,NA,4.7,29,14.5,0,4.5,14.5,14.5,4.5,34.5,0,0,14.5,,0,0,0,0,0,0,1
"Sealed Room, The",1909,11,NA,5.3,46,4.5,0,4.5,14.5,14.5,34.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,1
She Would Be an Actress,1909,5,NA,5.4,8,14.5,0,0,14.5,14.5,14.5,14.5,14.5,24.5,0,,0,0,0,0,0,0,0
TR's Arrival in Africa,1909,1,NA,3.6,7,0,14.5,44.5,14.5,14.5,14.5,0,0,0,0,,0,1,1,0,0,0,1
Those Awful Hats,1909,2,NA,6.8,76,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,,0,0,1,0,0,0,1
"Violin Maker of Cremona, The",1909,10,NA,4.9,7,14.5,0,0,0,24.5,24.5,24.5,0,0,0,,0,0,0,0,0,0,1
What Drink Did,1909,12,NA,5.2,5,24.5,0,0,0,0,0,64.5,0,24.5,0,,0,0,0,1,0,0,1
