title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
...Ja teeb trikke,1978,10,NA,7.9,7,0,0,0,0,0,0,14.5,24.5,24.5,24.5,,0,1,1,0,0,0,1
"ABC of Love and Sex: Australia Style, The",1978,85,NA,3.7,5,0,24.5,0,24.5,64.5,0,0,0,0,0,,0,0,1,0,1,0,0
Abe Lincoln: Freedom Fighter,1978,54,NA,1.6,7,44.5,14.5,0,0,24.5,0,0,0,0,14.5,,0,0,0,0,0,0,0
"Abfahrer, Die",1978,97,NA,4.6,20,14.5,4.5,0,0,14.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
Absolution,1978,95,NA,5.5,123,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Acapulco Gold,1978,105,NA,4,25,4.5,4.5,14.5,24.5,24.5,4.5,14.5,4.5,0,0,,0,0,0,0,0,0,0
Addio ultimo uomo,1978,91,NA,5.9,8,0,0,14.5,0,14.5,14.5,14.5,14.5,0,34.5,,0,0,0,0,1,0,0
Adventures of a Plumber's Mate,1978,88,NA,3.3,40,24.5,14.5,14.5,14.5,24.5,14.5,4.5,0,0,4.5,,0,0,1,0,0,0,0
"Affaire Bronswik, L'",1978,24,NA,7.8,19,0,0,0,0,4.5,14.5,4.5,24.5,34.5,14.5,,0,0,1,0,0,0,1
Afterlife,1978,7,NA,8.4,8,0,0,0,0,0,0,0,64.5,0,34.5,,0,1,0,0,0,0,1
Agent 69 Jensen - I skyttens tegn,1978,91,NA,4.6,32,4.5,14.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
"Agenzia Riccardo Finzi, praticamente detective",1978,92,NA,4.7,13,4.5,0,0,24.5,4.5,4.5,14.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Agowa gongpo,1978,83,NA,3.2,37,44.5,14.5,14.5,14.5,4.5,4.5,4.5,0,0,4.5,,0,0,0,0,0,0,0
Ai no borei,1978,104,NA,6.3,230,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
Ako-Jo danzetsu,1978,159,NA,5.6,8,0,0,0,0,34.5,34.5,0,14.5,14.5,0,,1,0,0,1,0,0,0
