title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
...And Millions Die!,1973,93,NA,4.4,23,14.5,0,4.5,34.5,24.5,14.5,0,0,0,14.5,,0,0,0,0,0,0,0
10 from Your Show of Shows,1973,92,NA,8.6,61,4.5,0,4.5,4.5,0,4.5,4.5,14.5,14.5,44.5,,0,0,1,0,0,0,0
"14, The",1973,105,NA,6.7,7,0,0,0,0,0,14.5,24.5,14.5,0,44.5,,0,0,0,0,0,0,0
3 dev adam,1973,81,NA,5.2,36,24.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,24.5,,1,0,0,0,0,0,0
40 Carats,1973,110,NA,6,104,4.5,4.5,4.5,4.5,24.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Aa Gale Lag Jaa,1973,148,NA,8.1,10,0,0,0,0,0,14.5,0,44.5,0,45.5,,0,0,0,0,0,1,0
Abenteuer eines Sommers,1973,83,NA,3,5,0,0,64.5,0,24.5,0,0,0,0,24.5,,0,0,0,0,0,0,0
Abu el Banat,1973,88,NA,8,5,0,0,0,0,0,0,24.5,44.5,0,44.5,,0,0,0,1,0,0,0
"Abuelo tiene un plan, El",1973,90,NA,3.5,22,34.5,4.5,0,14.5,14.5,14.5,0,0,0,14.5,,0,0,1,0,0,0,0
Ace Eli and Rodger of the Skies,1973,89,NA,5.7,60,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
Across This Land with Stompin' Tom Connors,1973,90,NA,7.3,10,0,0,0,0,0,14.5,14.5,44.5,0,44.5,,0,0,0,0,1,0,0
"Adulteress, The",1973,85,NA,2.9,13,34.5,4.5,14.5,24.5,0,0,0,4.5,0,4.5,,0,0,0,0,0,0,0
"Affaire Dominici, L'",1973,105,NA,6.5,57,0,0,4.5,4.5,14.5,14.5,34.5,14.5,14.5,4.5,,0,0,0,1,0,0,0
Afskedens time,1973,79,NA,5.9,5,0,0,0,0,44.5,64.5,0,0,0,0,,0,0,0,0,0,0,0
"Aisiodoxos, O",1973,90,NA,4,5,0,0,44.5,44.5,0,24.5,0,0,0,0,,0,0,1,0,0,0,0
Akce bororo,1973,90,NA,5.6,14,4.5,0,0,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
Alabama's Ghost,1973,96,NA,4.3,19,24.5,4.5,14.5,14.5,14.5,4.5,0,4.5,4.5,14.5,,0,0,0,0,0,0,0
"All-American Boy, The",1973,118,NA,4,22,14.5,14.5,4.5,4.5,24.5,4.5,4.5,0,0,14.5,,0,0,0,1,0,0,0
Allonsanfan,1973,115,NA,6.6,116,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Alpha Beta,1973,70,NA,8.5,9,0,0,0,0,0,0,14.5,24.5,14.5,45.5,,0,0,0,1,0,0,0
Alvin Purple,1973,87,NA,5.3,53,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Amante Muito Louca,1973,95,NA,3.9,6,14.5,0,0,0,14.5,14.5,14.5,14.5,0,14.5,,0,0,1,0,0,0,0
Amarcord,1973,127,NA,7.9,4503,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,1,0,0,0
"Amazzoni - donne d'amore e di guerra, Le",1973,100,NA,4.5,35,14.5,14.5,14.5,4.5,4.5,4.5,14.5,4.5,0,14.5,,1,0,0,0,0,0,0
"Ambassade, L'",1973,20,NA,6.7,9,14.5,0,0,0,14.5,0,24.5,14.5,34.5,14.5,,0,0,0,1,0,0,1
American Graffiti,1973,110,777000,7.6,12758,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
"Amleto di meno, Un",1973,70,NA,8.6,13,0,0,4.5,0,0,0,14.5,14.5,34.5,34.5,,0,0,0,0,0,0,0
"An 01, L'",1973,90,NA,4.4,74,74.5,4.5,0,0,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Ana y los lobos,1973,102,NA,7.1,83,4.5,0,4.5,0,4.5,4.5,34.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
Anastasia mio fratello ovvero il presunto capo dell'Anonima Assassini,1973,87,NA,5.8,11,4.5,0,0,0,24.5,34.5,24.5,0,0,0,,0,0,1,0,0,0,0
Anche gli angeli mangiano fagioli,1973,111,NA,5.5,142,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,1,0,1,0,0,0,0
And Now the Screaming Starts!,1973,91,NA,5.1,211,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Anderssonskans Kalle i busform,1973,85,NA,5.3,22,0,4.5,4.5,4.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,0,0,0,0
"Anthropos pou etrehe poly, O",1973,81,NA,7.4,10,0,0,0,0,14.5,14.5,14.5,45.5,24.5,0,,0,0,1,0,0,0,0
Anton,1973,77,NA,4.2,6,0,45.5,0,0,0,0,14.5,0,0,34.5,,0,0,0,1,0,0,0
Antonio,1973,82,NA,4.7,9,24.5,0,0,0,14.5,34.5,0,0,0,34.5,,0,0,1,0,0,0,0
Apachen,1973,94,NA,7.2,20,4.5,0,4.5,4.5,0,14.5,14.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
Aramesh dar Hozur Deegaran,1973,86,NA,7.2,7,0,0,0,0,0,14.5,14.5,24.5,14.5,24.5,,0,0,0,0,0,0,0
"Arma, l'ora, il movente, L'",1973,105,NA,6.3,5,0,0,0,0,0,44.5,44.5,24.5,0,0,,0,0,0,0,0,0,0
"Armee Gretchen, Eine",1973,95,NA,5.6,26,14.5,4.5,14.5,0,4.5,44.5,14.5,4.5,0,0,,1,0,0,1,0,0,0
Arnold,1973,94,NA,4.7,84,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Art of Mirrors,1973,6,NA,5.2,13,14.5,0,14.5,4.5,4.5,0,24.5,4.5,4.5,14.5,,0,0,0,0,0,0,1
Ash Wednesday,1973,99,NA,3.5,110,14.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
Ashani Sanket,1973,101,NA,8,85,4.5,0,0,0,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
"Asphyx, The",1973,99,NA,5.9,226,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Assassin,1973,83,NA,4.6,11,0,4.5,4.5,0,24.5,24.5,14.5,0,0,4.5,,0,0,0,1,0,0,0
"Ataque de los muertos sin ojos, El",1973,91,NA,4,217,14.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Autopsia,1973,85,NA,4.8,11,4.5,0,4.5,4.5,24.5,24.5,4.5,0,0,4.5,,0,0,0,1,0,0,0
"Avaleuses, Les",1973,72,NA,4.7,269,14.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
"Aventures de Rabbi Jacob, Les",1973,91,NA,7.2,1046,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,0,0
"Awakening of Annie, The",1973,106,NA,4.3,6,34.5,34.5,0,0,0,14.5,0,0,14.5,0,,0,0,0,1,0,0,0
Baba Yaga,1973,81,NA,5.8,128,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
"Baby, The",1973,89,NA,5.1,172,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Badge 373,1973,116,NA,5.3,66,0,4.5,4.5,24.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Badlands,1973,94,500000,7.7,4763,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
"Balash Ha'Amitz Shvartz, Ha-",1973,95,NA,6.8,13,24.5,0,0,0,0,0,4.5,0,0,64.5,,0,0,0,1,0,0,0
Bang Bang,1973,85,NA,9.2,8,0,0,0,0,0,0,14.5,0,24.5,64.5,,0,0,1,0,0,0,0
Bang the Drum Slowly,1973,96,NA,7,1010,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Battle for the Planet of the Apes,1973,96,1800000,4.9,2335,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
Baxter!,1973,100,NA,6.6,53,4.5,0,0,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
