title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,19,NA,7.3,21,4.5,0,0,4.5,4.5,4.5,4.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
'Til There Was You,1997,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1,0
...Is It the Design on the Wrapper?,1997,8,NA,2.6,14,24.5,0,0,0,4.5,4.5,24.5,4.5,0,24.5,,0,0,0,0,0,0,1
10.7,1997,28,NA,8.8,5,0,0,0,0,0,0,0,64.5,0,44.5,,0,0,0,0,0,0,1
100 Proof,1997,94,140000,3.3,19,14.5,14.5,4.5,14.5,14.5,14.5,14.5,0,0,24.5,,0,0,0,1,0,0,0
"10000th Day, The",1997,18,NA,8,5,0,0,0,0,0,24.5,44.5,0,0,44.5,,0,0,0,0,0,0,1
"120 Tage von Bottrop, Die",1997,60,NA,2.4,52,34.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
187: Documented,1997,58,NA,3,14,44.5,0,0,14.5,0,4.5,14.5,0,4.5,14.5,,0,0,0,1,1,0,0
1919,1997,8,NA,6.2,13,34.5,4.5,0,4.5,14.5,0,4.5,0,14.5,14.5,,0,0,0,0,0,0,1
2 Dyuo,1997,90,NA,6.5,9,14.5,14.5,0,0,14.5,24.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
2 or 3 Things But Nothing for Sure,1997,12,NA,7.2,5,0,0,24.5,0,0,24.5,0,24.5,24.5,24.5,,0,0,0,0,1,0,1
20-seiki nosutarujia,1997,93,NA,3.7,14,24.5,0,0,0,14.5,14.5,24.5,0,0,24.5,,0,0,0,0,0,0,0
2103: The Deadly Wake,1997,100,NA,3.8,78,34.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
24 7: Twenty Four Seven,1997,96,NA,6.7,504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,1,0,0,0
35 Miles from Normal,1997,99,NA,6.6,21,4.5,0,4.5,0,4.5,4.5,4.5,14.5,4.5,34.5,,0,0,0,1,0,0,0
4 Little Girls,1997,102,NA,7.5,463,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,0,1,0,0
8 Heads in a Duffel Bag,1997,94,NA,4.8,2076,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
8cht,1997,7,NA,3.7,11,14.5,4.5,0,0,34.5,0,0,0,0,34.5,,0,0,0,0,0,0,1
97 ga yau choi si,1997,90,NA,4.7,59,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
976-WISH,1997,42,NA,1.8,17,14.5,0,4.5,0,4.5,0,14.5,0,14.5,44.5,,0,0,1,0,0,1,1
99.9,1997,106,NA,6.3,78,4.5,0,0,4.5,24.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
A ciegas,1997,92,NA,4.7,49,14.5,4.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
A spasso nel tempo: l'avventura continua,1997,95,NA,2.7,26,45.5,4.5,14.5,4.5,14.5,0,0,0,0,4.5,,0,0,1,0,0,0,0
"A, B, C... Manhattan",1997,90,NA,6.3,36,4.5,4.5,4.5,4.5,0,4.5,24.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Aau dut,1997,81,NA,7.1,230,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,,1,0,0,1,0,0,0
Abeoji,1997,113,NA,3.2,5,64.5,0,0,0,0,24.5,24.5,0,0,0,,0,0,0,0,0,0,0
Aberration,1997,93,NA,4.8,149,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
Abre los ojos,1997,117,NA,7.8,8087,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,1,0
Absolute Force,1997,91,NA,6.2,9,24.5,0,14.5,0,14.5,14.5,24.5,0,0,24.5,,1,0,0,0,0,0,0
Absolute Power,1997,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
"Absolution of Anthony, The",1997,13,NA,5.4,19,0,0,4.5,14.5,14.5,24.5,14.5,4.5,0,24.5,,0,0,1,1,0,0,1
Academy Boyz,1997,90,NA,8.9,24,14.5,0,0,0,0,0,0,14.5,4.5,64.5,,0,0,0,0,0,0,0
Access Denied,1997,95,NA,3.8,43,14.5,14.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
"Acrobate, Le",1997,123,NA,6.4,43,4.5,0,4.5,0,4.5,14.5,14.5,34.5,14.5,4.5,,0,0,0,0,0,0,0
Action League Now!!: Rock-A-Big-Baby,1997,5,NA,2.8,26,14.5,4.5,4.5,0,0,14.5,4.5,4.5,4.5,44.5,PG,0,1,1,0,0,0,1
Actrius,1997,90,NA,5.8,37,0,0,0,4.5,14.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Acts of Betrayal,1997,90,3000000,4.6,94,4.5,14.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
"Ad and the Ego, The",1997,57,NA,4.4,16,14.5,0,0,0,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,1,0,0
Adam,1997,4,NA,7,6,0,0,0,14.5,0,0,34.5,34.5,14.5,0,,0,1,0,0,0,0,1
Adam & Eva,1997,104,NA,6.6,633,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,1,0,1,0
Addicted to Love,1997,100,NA,6,5445,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,1,0
Address Unknown,1997,92,NA,4.9,80,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG,0,0,0,0,0,0,0
"Adieu, Galaxy Express 999",1997,135,NA,4.8,34,14.5,0,0,0,4.5,4.5,24.5,24.5,24.5,14.5,,0,0,0,0,0,0,0
Affliction,1997,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0
Afterglow,1997,113,NA,6.1,1169,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,1,0
Afula Express,1997,95,NA,6.7,52,4.5,4.5,0,4.5,14.5,14.5,14.5,24.5,4.5,14.5,,0,0,1,1,0,1,0
Against the Law,1997,81,NA,3.7,73,14.5,14.5,4.5,4.5,14.5,14.5,14.5,0,4.5,4.5,,1,0,0,0,0,0,0
Agir roman,1997,120,NA,6.8,151,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,1,0
Ai ching lai le,1997,113,NA,8.5,32,0,0,0,0,0,4.5,4.5,14.5,34.5,34.5,,0,0,0,0,0,0,0
Air Bud,1997,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,0,0
Air Force One,1997,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
Airbag,1997,112,NA,6.1,617,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,1,0,1,0,0,0,0
Aisuru,1997,114,NA,4.3,21,14.5,0,0,0,0,4.5,14.5,34.5,14.5,4.5,,0,0,0,1,0,0,0
Ajans-E Shisheh-I,1997,100,NA,5.2,61,4.5,0,0,0,0,4.5,14.5,4.5,14.5,44.5,,0,0,0,0,0,0,0
Akrebin yolculugu,1997,118,NA,5.1,22,14.5,4.5,0,0,0,4.5,4.5,14.5,14.5,44.5,,0,0,0,0,0,1,0
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
Alaska: Spirit of the Wild,1997,40,NA,6.5,112,4.5,4.5,0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,0,1,0,1
Alien Agenda: Under the Skin,1997,75,NA,1.5,15,84.5,4.5,4.5,0,0,0,4.5,0,0,0,,0,0,0,0,0,0,0
Alien Escape,1997,85,1000000,5.6,23,14.5,0,4.5,4.5,0,14.5,14.5,0,14.5,34.5,R,0,0,0,0,0,0,0
Alien: Resurrection,1997,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0
"Alive Tribe, The",1997,90,NA,5.2,5,24.5,0,0,24.5,0,24.5,24.5,24.5,0,0,,1,0,1,0,0,1,0
All Over Me,1997,90,NA,6.9,600,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,R,0,0,0,1,0,0,0
All Souls' Day,1997,78,NA,2.8,11,24.5,0,0,4.5,0,4.5,24.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
All Stars,1997,115,NA,7.4,470,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
All the Rage,1997,105,NA,6.4,110,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Alliance cherche doigt,1997,90,NA,2.9,15,24.5,4.5,24.5,0,4.5,14.5,24.5,4.5,0,4.5,,0,0,0,0,0,0,0
Allie & Me,1997,85,NA,4.8,38,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
Allyson Is Watching,1997,90,NA,4.7,105,4.5,14.5,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,R,0,0,0,1,0,0,0
Alma,1997,94,NA,4.9,8,0,14.5,0,0,14.5,0,0,45.5,14.5,14.5,,0,0,0,0,1,0,0
Altri uomini,1997,100,NA,5.7,10,0,0,0,24.5,14.5,34.5,24.5,14.5,14.5,0,,0,0,0,1,0,0,0
Amazon,1997,38,NA,6.3,39,4.5,4.5,4.5,4.5,4.5,34.5,24.5,4.5,4.5,14.5,,0,0,0,0,1,0,1
American Perfekt,1997,100,NA,5.9,433,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
"American Vampire Story, An",1997,99,NA,2.1,149,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
"American Werewolf in Paris, An",1997,105,22000000,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,1,0
Amistad,1997,152,40000000,7,10543,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
"Amor Natural, O",1997,76,NA,7.5,28,0,0,0,0,0,0,34.5,4.5,24.5,24.5,,0,0,0,0,1,0,0
Amor vertical,1997,100,NA,6.1,42,4.5,0,0,4.5,14.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Amour et confusions,1997,105,NA,4.4,56,4.5,4.5,14.5,14.5,4.5,4.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Amy,1997,9,NA,4.5,9,34.5,0,0,14.5,0,14.5,24.5,14.5,14.5,0,,0,0,0,0,0,0,1
An ju,1997,100,NA,8.5,6,0,0,0,0,0,0,34.5,14.5,14.5,34.5,,0,0,0,1,0,0,0
Anaconda,1997,89,45000000,4.1,10510,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
Anahy de las Misiones,1997,107,NA,8.2,32,4.5,0,0,4.5,4.5,0,4.5,44.5,14.5,14.5,,0,0,0,0,0,0,0
Anastasia,1997,94,53000000,6.5,4896,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,1,0,0,0,0,0
Angel on My Shoulder,1997,85,NA,8.6,9,24.5,14.5,0,0,0,14.5,0,0,0,45.5,,0,0,0,0,1,0,0
Angelo Anda Sumido,1997,17,NA,5.6,6,0,0,0,0,14.5,45.5,14.5,0,0,14.5,,0,0,0,0,0,0,1
Anita Liberty,1997,15,NA,4.7,15,4.5,24.5,0,14.5,14.5,14.5,0,4.5,0,24.5,,0,0,1,0,0,0,1
Anna Karenina,1997,108,NA,5.6,706,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,0,1,0,1,0
Anna in the Sky,1997,10,NA,3.9,19,14.5,4.5,0,0,34.5,24.5,4.5,0,4.5,24.5,,0,0,0,0,0,0,1
Anthem,1997,124,NA,5.1,36,14.5,0,4.5,4.5,14.5,4.5,14.5,4.5,4.5,24.5,,0,0,0,0,1,0,0
Anticipating Sarah,1997,8,NA,4.6,30,4.5,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,1
Anything Once,1997,23,NA,4.1,33,4.5,4.5,0,4.5,4.5,4.5,14.5,14.5,34.5,14.5,,0,0,1,0,0,0,1
"Apartamento, O",1997,14,NA,2,11,24.5,0,0,0,0,24.5,0,14.5,14.5,4.5,,0,0,0,0,0,0,1
"Apocalypse, The",1997,96,NA,2.5,106,34.5,24.5,14.5,4.5,4.5,4.5,4.5,0,0,4.5,R,0,0,0,0,0,0,0
"Apontes, I",1997,115,NA,5.1,31,4.5,0,0,4.5,0,0,14.5,44.5,14.5,14.5,,0,0,0,1,0,0,0
"Apostle, The",1997,134,5000000,7.2,4231,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
"Apothekerin, Die",1997,108,NA,5.6,305,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,1,0,1,0
Aqui jaz Helena,1997,78,NA,3,11,14.5,0,0,0,0,0,4.5,0,24.5,44.5,,0,0,0,1,0,0,0
Ardena,1997,103,NA,3.8,17,24.5,0,0,0,0,14.5,34.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Arlette,1997,100,NA,4.4,107,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,1,0
