title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1776,1972,180,4000000,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,PG,0,0,0,1,0,0,0
72 Desperate Rebels,1972,93,NA,3.3,8,14.5,0,14.5,0,24.5,14.5,14.5,14.5,0,14.5,,1,0,0,1,0,0,0
A zori zdes tikhie,1972,188,NA,8.6,137,0,0,4.5,0,4.5,4.5,4.5,14.5,24.5,45.5,,1,0,0,0,0,0,0
"Abductors, The",1972,91,NA,4,83,14.5,4.5,14.5,4.5,4.5,4.5,14.5,4.5,4.5,24.5,,1,0,0,1,0,0,0
Across 110th Street,1972,102,NA,6.6,325,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Adolf Hitler - My Part in His Downfall,1972,102,NA,5.2,71,4.5,0,4.5,14.5,24.5,14.5,4.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
"Adult Version of Jekyll & Hide, The",1972,75,NA,3.5,41,24.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
"Adventures of Barry McKenzie, The",1972,114,NA,5.2,101,4.5,4.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
Afternoon of a Champion,1972,80,NA,6.8,10,0,0,14.5,14.5,0,0,34.5,24.5,0,34.5,,0,0,0,0,1,0,0
Agapi mou paliogria,1972,97,NA,5.9,14,4.5,4.5,4.5,14.5,14.5,24.5,24.5,0,0,4.5,,0,0,1,0,0,1,0
Agent nr 1,1972,97,NA,3.1,5,0,24.5,0,44.5,0,0,24.5,0,0,24.5,,1,0,0,1,0,0,0
Agit,1972,82,NA,5.2,13,14.5,0,0,0,14.5,14.5,14.5,0,0,34.5,,0,0,0,1,0,0,0
Agostino d'Ippona,1972,121,NA,8.3,10,0,0,0,0,14.5,14.5,14.5,24.5,34.5,24.5,,0,0,0,0,0,0,0
"Aguirre, der Zorn Gottes",1972,100,NA,8,3926,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,0,0,0,1,0,0,0
Ai nu,1972,90,NA,7.5,127,4.5,0,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,,1,0,0,1,0,0,0
Al tropico del cancro,1972,95,NA,6.2,5,0,0,0,0,24.5,44.5,44.5,0,0,0,,0,0,0,0,0,0,0
"Alf Garnett Saga, The",1972,90,NA,5.3,24,14.5,4.5,0,0,14.5,24.5,4.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
"Alfredo, Alfredo",1972,98,NA,5.8,120,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
Alice's Adventures in Wonderland,1972,95,2500000,5.6,165,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,,0,0,0,0,0,0,0
"Aliki dictator, I",1972,117,NA,3.3,16,24.5,14.5,14.5,0,14.5,14.5,4.5,0,0,0,,0,0,1,1,0,0,0
All Coppers Are...,1972,87,NA,4.7,12,0,0,4.5,14.5,24.5,14.5,14.5,14.5,0,0,,0,0,0,1,0,0,0
"All-American Girl, The",1972,76,NA,3.7,15,0,14.5,0,4.5,0,24.5,0,4.5,24.5,24.5,,0,0,0,1,0,0,0
Alla ricerca del piacere,1972,85,NA,5.9,35,4.5,0,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Alleluja e Sartana figli di... Dio,1972,90,NA,1.8,13,34.5,34.5,0,14.5,4.5,0,0,0,0,0,,0,0,0,0,0,0,0
Alluri Seetharama Raju,1972,187,NA,6.3,6,0,0,0,0,0,14.5,0,14.5,14.5,45.5,,1,0,0,1,0,0,0
