title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1-2-3-4 ou Les Collants noirs,1960,125,NA,7.3,34,0,4.5,4.5,0,4.5,14.5,14.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
12 to the Moon,1960,74,150000,2.8,89,34.5,24.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
13 Fighting Men,1960,69,NA,4.2,5,24.5,0,24.5,44.5,24.5,0,0,0,0,0,,0,0,0,0,0,0,0
13 Ghosts,1960,85,NA,5.6,578,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
"3 Worlds of Gulliver, The",1960,100,NA,6,215,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,1,0,0,0,0,0
"3rd Voice, The",1960,79,NA,7.3,20,0,0,4.5,0,4.5,14.5,14.5,34.5,0,24.5,,0,0,0,1,0,0,0
5 Branded Women,1960,118,NA,5.2,53,4.5,0,4.5,14.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Adua e le compagne,1960,128,NA,7.2,31,4.5,4.5,0,4.5,0,4.5,34.5,24.5,14.5,4.5,,0,0,1,1,0,0,0
"Adventures of Huckleberry Finn, The",1960,107,NA,6.1,216,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Akibiyori,1960,128,NA,7.8,135,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,0,1,0,0,0
"Alamo, The",1960,192,12000000,6.6,2083,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,1,0,0,1,0,0,0
All the Fine Young Cannibals,1960,112,NA,5.3,166,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,14.5,,0,0,0,1,0,1,0
All the Young Men,1960,90,NA,5.9,70,4.5,0,14.5,4.5,4.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Als geheilt entlassen,1960,86,NA,5.6,6,14.5,0,0,0,34.5,34.5,14.5,0,0,0,,0,0,1,0,0,0,0
"Amante del vampiro, L'",1960,85,NA,2.4,23,14.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,0,0,,0,0,0,0,0,0,0
"Amazing Transparent Man, The",1960,57,NA,3.2,203,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Amore a Roma, Un",1960,113,NA,5.9,9,0,0,0,0,44.5,24.5,14.5,14.5,14.5,0,,0,0,0,1,0,1,0
"Amori di Ercole, Gli",1960,98,NA,3.1,60,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
"Amour existe, L'",1960,21,NA,7.6,29,0,0,4.5,0,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,1,0,1
An heiligen Wassern,1960,109,NA,6,9,0,0,0,0,14.5,34.5,44.5,14.5,0,0,,0,0,0,1,0,0,0
And the Same to You,1960,70,NA,8.8,5,0,0,0,0,0,0,44.5,0,0,64.5,,0,0,1,0,0,0,0
"Angel Wore Red, The",1960,99,NA,5.3,91,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,1,0,0,1,0,1,0
"Angry Red Planet, The",1960,83,190000,4.7,406,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Angry Silence, The",1960,95,NA,6.9,77,4.5,0,0,4.5,4.5,14.5,24.5,34.5,4.5,14.5,,0,0,0,1,0,0,0
Annibale,1960,103,NA,4.8,63,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,0,14.5,,1,0,0,1,0,0,0
Anuradha,1960,141,NA,9.2,6,0,0,0,0,0,0,14.5,0,34.5,45.5,,0,0,0,1,0,0,0
"Apartment, The",1960,125,3000000,8.4,11214,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,1,1,0,1,0
Appuntamento a Ischia,1960,99,NA,5.7,6,14.5,14.5,0,0,14.5,14.5,0,0,0,34.5,,0,0,1,0,0,0,0
Arnulf Rainer,1960,7,NA,7.2,9,24.5,14.5,0,0,14.5,14.5,0,0,0,44.5,,0,0,0,0,0,0,1
Aruanda,1960,20,NA,6.3,6,0,0,0,0,0,14.5,45.5,14.5,14.5,0,,0,0,0,0,1,0,1
As the Sea Rages,1960,74,NA,5.2,8,0,0,0,24.5,34.5,0,0,14.5,24.5,0,,0,0,0,1,0,0,0
"Assedio di Siracusa, L'",1960,115,NA,5.1,14,0,0,0,14.5,24.5,44.5,24.5,0,0,0,,0,0,0,1,0,0,0
Austerlitz,1960,122,4000000,5.1,82,14.5,4.5,4.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
"Avventura, L'",1960,145,NA,7.5,1727,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,1,0
BUtterfield 8,1960,109,2500000,6,717,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Bambai Ka Babu,1960,154,NA,6.3,7,0,0,0,0,0,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,1,0
"Bande des Schreckens, Die",1960,92,NA,6.4,42,0,4.5,0,4.5,4.5,34.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Banditi a Orgosolo,1960,98,NA,7,17,0,0,0,4.5,4.5,14.5,24.5,4.5,24.5,14.5,,0,0,0,1,0,0,0
"Barbarians, The",1960,84,750000,4.5,18,0,4.5,24.5,14.5,14.5,4.5,24.5,4.5,0,4.5,,0,0,0,0,0,0,0
Barefoot Adventure,1960,74,NA,5,10,0,0,0,14.5,24.5,14.5,14.5,24.5,0,34.5,,0,0,0,0,1,0,0
Baronessen fra benzintanken,1960,122,NA,5.4,89,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,,0,0,1,0,0,0,0
Bats in the Belfry,1960,6,NA,6.8,6,0,0,14.5,0,0,14.5,14.5,14.5,34.5,0,,0,1,1,0,0,0,1
Beat Girl,1960,83,NA,5.1,76,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
"Beatniks, The",1960,78,NA,2,105,45.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,0,4.5,,0,0,0,0,0,0,0
Because They're Young,1960,102,NA,5.3,61,4.5,4.5,4.5,4.5,4.5,14.5,24.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
"Bell'Antonio, Il",1960,95,NA,6.1,93,4.5,4.5,0,4.5,14.5,14.5,24.5,14.5,14.5,4.5,,0,0,0,1,0,0,0
"Bellboy, The",1960,72,900000,6.1,369,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Bells Are Ringing,1960,127,2203123,6.8,386,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,14.5,,0,0,1,0,0,1,0
Beyond the Time Barrier,1960,75,125000,4.3,79,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Bidaya wa nihaya,1960,130,NA,7.8,15,0,0,0,0,0,0,14.5,24.5,34.5,34.5,,0,0,0,0,0,0,0
"Big Night, The",1960,74,NA,5.7,6,0,0,0,0,64.5,0,14.5,14.5,0,0,,0,0,0,1,0,0,0
