title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
-30-,1959,96,NA,6.3,43,4.5,4.5,0,4.5,14.5,4.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
1001 Arabian Nights,1959,75,NA,5.2,59,14.5,0,4.5,14.5,14.5,24.5,4.5,4.5,4.5,14.5,,0,1,0,0,0,0,0
125 rue Montmartre,1959,85,NA,5.2,22,0,0,14.5,14.5,4.5,24.5,4.5,24.5,4.5,0,,0,0,0,1,0,0,0
"30 Foot Bride of Candy Rock, The",1959,75,NA,4.6,102,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,14.5,14.5,,0,0,1,0,0,0,0
"39 Steps, The",1959,93,NA,6.6,223,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
4D Man,1959,85,NA,5.2,192,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,1,0,0,0,0,1,0
91:an Karlsson muckar (tror han),1959,90,NA,4.5,6,14.5,0,34.5,0,34.5,0,0,14.5,0,0,,0,0,1,0,0,0,0
Abschied von den Wolken,1959,99,NA,5.8,6,0,14.5,14.5,14.5,0,14.5,14.5,0,0,14.5,,0,0,0,0,0,0,0
Agi Murad il diavolo bianco,1959,91,NA,4.3,30,4.5,14.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,0,,1,0,0,1,0,0,0
Ai to kibo no machi,1959,62,NA,7,12,4.5,0,0,0,4.5,14.5,24.5,24.5,14.5,0,,0,0,0,0,0,0,0
Al Capone,1959,104,NA,6.4,226,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Alias Jesse James,1959,92,NA,6.7,128,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Alive and Kicking,1959,94,NA,6.6,15,0,0,0,4.5,24.5,24.5,4.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
"Alligator People, The",1959,74,NA,4.5,184,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Alt Heidelberg,1959,108,NA,6.3,11,4.5,4.5,4.5,0,4.5,0,4.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
"Am Tag, als der Regen kam",1959,88,NA,7,5,0,0,0,0,0,24.5,44.5,44.5,0,0,,0,0,0,0,0,0,0
Anari,1959,166,NA,8.1,24,0,4.5,0,0,4.5,4.5,4.5,34.5,24.5,14.5,,0,0,1,0,0,1,0
Anatomy of a Murder,1959,160,NA,8,3901,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,,0,0,0,1,0,0,0
Ando volando bajo,1959,110,NA,9.4,5,0,0,0,0,0,0,0,24.5,24.5,64.5,,0,0,0,1,0,0,0
"Angry Hills, The",1959,105,NA,5.5,111,4.5,4.5,4.5,14.5,14.5,34.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Anna Lucasta,1959,97,NA,5.9,37,0,0,4.5,4.5,4.5,24.5,24.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
Apes of Wrath,1959,7,NA,6.9,56,4.5,0,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,1,1,0,0,0,1
Apur Sansar,1959,117,NA,8,652,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,,0,0,0,1,0,0,0
Araya,1959,90,NA,7.9,16,0,0,0,0,0,14.5,0,14.5,4.5,64.5,,0,0,0,0,1,0,0
Arrangiatevi!,1959,105,NA,8.3,24,0,0,0,0,4.5,4.5,14.5,34.5,24.5,14.5,,0,0,1,0,0,0,0
Aru kengo no shogai,1959,111,NA,6.6,8,0,0,14.5,0,14.5,14.5,0,0,14.5,45.5,,0,0,0,1,0,0,0
Ask Any Girl,1959,98,NA,6.3,147,0,4.5,0,4.5,14.5,24.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
Astero,1959,73,NA,5.6,5,24.5,0,0,24.5,0,24.5,24.5,0,0,24.5,,0,0,0,1,0,0,0
