title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
'68,1988,99,NA,5.4,23,4.5,0,4.5,14.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
'Crocodile' Dundee II,1988,110,NA,5,7252,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,1,0,0,0,0
'Gator Bait II: Cajun Justice,1988,95,NA,3.1,54,24.5,14.5,4.5,14.5,4.5,14.5,0,4.5,0,4.5,,0,0,0,0,0,0,0
"13th Floor, The",1988,88,NA,4.3,131,4.5,4.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
18 Again!,1988,93,NA,4.8,643,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
1969,1988,95,NA,5.3,659,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
1999 - Nen no natsu yasumi,1988,90,NA,6.5,66,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,44.5,,0,0,0,1,0,0,0
36 fillette,1988,88,NA,6,232,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
A sega nakade?,1988,93,NA,7.4,14,0,0,0,0,4.5,4.5,4.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
A.D.A.M.,1988,98,NA,5.9,27,14.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
A.S.S.,1988,80,NA,6.1,9,0,0,14.5,0,0,0,24.5,34.5,0,34.5,,0,0,0,0,0,0,0
Abba Ganuv,1988,95,NA,5.5,17,14.5,0,4.5,14.5,0,14.5,14.5,4.5,4.5,24.5,,0,0,1,1,0,0,0
Above the Law,1988,93,NA,5.2,3126,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
