title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
"Adventure of the Wrong Santa Claus, The",1914,14,NA,6.1,25,0,0,4.5,4.5,0,45.5,14.5,14.5,0,4.5,,0,0,0,1,0,0,1
"Avenging Conscience; Thou Shalt Not Kill, The",1914,78,NA,6.4,30,4.5,0,0,4.5,4.5,44.5,14.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
Between Showers,1914,15,NA,5.7,62,0,0,4.5,14.5,14.5,34.5,14.5,14.5,0,4.5,,0,0,1,0,0,0,1
Brute Force,1914,33,NA,5.9,5,24.5,0,0,0,24.5,0,64.5,0,0,0,,0,0,0,1,0,0,1
"Busy Day, A",1914,6,NA,5.5,36,4.5,0,0,14.5,14.5,14.5,24.5,4.5,4.5,4.5,,0,0,1,0,0,0,1
Cabiria,1914,162,210000,7.6,216,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
Caught in a Cabaret,1914,33,NA,5.5,79,4.5,4.5,14.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,1
Caught in the Rain,1914,16,NA,6,23,4.5,0,4.5,0,14.5,24.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,1
"Cruel, Cruel Love",1914,16,NA,5.5,63,0,4.5,4.5,4.5,34.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,1
Ditya bolshogo goroda,1914,37,NA,7,18,14.5,0,0,0,14.5,14.5,14.5,24.5,4.5,14.5,,0,0,0,1,0,0,1
Dough and Dynamite,1914,33,NA,6.7,24,0,4.5,4.5,4.5,14.5,4.5,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,1
"Face on the Bar Room Floor, The",1914,14,NA,5.5,33,0,14.5,0,24.5,24.5,4.5,4.5,14.5,4.5,4.5,,0,0,1,0,0,0,1
"Fatal Mallet, The",1914,18,NA,5.7,26,0,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,1
Fatty's Magic Pants,1914,12,NA,5.6,16,4.5,0,0,4.5,4.5,64.5,14.5,0,0,0,,0,0,1,0,0,0,1
"Faux magistrat, Le",1914,70,NA,8,30,0,0,0,0,0,4.5,24.5,34.5,24.5,14.5,,0,0,0,0,0,0,0
"Film Johnnie, A",1914,15,NA,5.9,74,0,0,4.5,14.5,24.5,34.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,1
"Florida Enchantment, A",1914,63,NA,6.4,35,0,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
Gentlemen of Nerve,1914,16,NA,6.3,24,0,0,4.5,4.5,4.5,34.5,24.5,4.5,0,4.5,,0,0,1,0,0,0,1
Getting Acquainted,1914,16,NA,6.3,35,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,1
"Hazards of Helen, The",1914,12,NA,6.1,5,0,0,0,0,0,44.5,24.5,0,0,44.5,,1,0,0,0,0,0,1
"Hemmelighedsfulde X, Det",1914,84,NA,8.2,20,0,0,0,0,0,14.5,4.5,44.5,24.5,24.5,,0,0,0,1,0,0,0
His Favorite Pastime,1914,16,NA,5.3,39,14.5,4.5,4.5,4.5,24.5,4.5,24.5,14.5,0,14.5,,0,0,1,0,0,0,1
His Musical Career,1914,16,NA,5.9,26,0,0,14.5,4.5,14.5,24.5,24.5,4.5,0,4.5,,0,0,1,0,0,0,1
His New Profession,1914,16,NA,6.1,47,4.5,0,0,4.5,14.5,24.5,24.5,14.5,4.5,0,,0,0,1,0,0,0,1
His Prehistoric Past,1914,10,NA,5.3,33,0,4.5,24.5,4.5,24.5,14.5,14.5,4.5,4.5,0,,0,0,1,0,0,0,1
His Trysting Place,1914,32,NA,6.5,31,0,0,0,4.5,24.5,4.5,44.5,4.5,4.5,4.5,,0,0,1,0,0,0,1
"Home, Sweet Home",1914,55,NA,5.7,17,0,0,4.5,14.5,14.5,34.5,14.5,14.5,4.5,0,,0,0,0,1,0,0,0
In the Land of the Head Hunters,1914,47,NA,6,23,4.5,0,4.5,0,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,1,0,0
"Ireland, a Nation",1914,50,NA,1,9,100,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0
Judith of Bethulia,1914,61,36000,6.9,47,0,0,4.5,0,14.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
Kid Auto Races at Venice,1914,11,NA,6.1,110,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,1
"Knockout, The",1914,27,NA,6,60,4.5,4.5,4.5,14.5,4.5,34.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,1
